period,x,m_mx,m_qx,m_lx,m_dx,m_ex,blank,f_mx,f_qx,f_lx,f_dx,f_ex
2013-2015,82,0.072974,0.070405,51796,3646.7,7.24,NA,0.052251,0.050921,64160.2,3267.1,8.43
2013-2015,83,0.081865,0.078646,48149.3,3786.8,6.75,NA,0.059461,0.057744,60893.1,3516.2,7.85
2013-2015,84,0.091127,0.087156,44362.6,3866.4,6.28,NA,0.06891,0.066615,57376.9,3822.2,7.3
2013-2015,85,0.104494,0.099306,40496.1,4021.5,5.83,NA,0.077796,0.074883,53554.7,4010.3,6.79
2013-2015,86,0.11654,0.110123,36474.6,4016.7,5.42,NA,0.08827,0.084539,49544.4,4188.4,6.3
2013-2015,87,0.130357,0.12238,32457.9,3972.2,5.03,NA,0.100855,0.096013,45356,4354.8,5.83
2013-2015,88,0.147207,0.137114,28485.7,3905.8,4.66,NA,0.113409,0.107324,41001.2,4400.4,5.4
2013-2015,89,0.16403,0.151597,24579.9,3726.2,4.32,NA,0.129901,0.121978,36600.8,4464.5,4.99
2013-2015,90,0.181177,0.166127,20853.7,3464.4,4,NA,0.146227,0.136264,32136.3,4379,4.61
2013-2015,91,0.201629,0.183164,17389.3,3185.1,3.7,NA,0.163116,0.150816,27757.3,4186.2,4.26
2013-2015,92,0.22775,0.204466,14204.2,2904.3,3.41,NA,0.184483,0.168903,23571,3981.2,3.93
2013-2015,93,0.248861,0.221322,11299.9,2500.9,3.16,NA,0.203341,0.184576,19589.8,3615.8,3.63
2013-2015,94,0.274007,0.240991,8799,2120.5,2.92,NA,0.231038,0.207113,15974,3308.4,3.34
2013-2015,95,0.308003,0.2669,6678.5,1782.5,2.69,NA,0.255932,0.226897,12665.6,2873.8,3.08
2013-2015,96,0.35033,0.298111,4896,1459.6,2.49,NA,0.296465,0.258193,9791.8,2528.2,2.83
2013-2015,97,0.377543,0.317591,3436.5,1091.4,2.33,NA,0.317994,0.27437,7263.6,1992.9,2.64
2013-2015,98,0.41681,0.344926,2345.1,808.9,2.18,NA,0.346905,0.295627,5270.7,1558.2,2.45
2013-2015,99,0.439113,0.36006,1536.2,553.1,2.07,NA,0.384587,0.322561,3712.5,1197.5,2.27
2013-2015,100,0.478433,0.386077,983.1,379.5,1.95,NA,0.411096,0.341004,2515,857.6,2.12
2012-2014,0,0.004377,0.004368,100000,436.8,79.29,NA,0.003602,0.003596,100000,359.6,83
2012-2014,1,3.44e-4,3.43e-4,99563.2,34.2,78.64,NA,2.59e-4,2.59e-4,99640.4,25.8,82.3
2012-2014,2,1.75e-4,1.75e-4,99529,17.4,77.67,NA,1.31e-4,1.31e-4,99614.6,13,81.32
2012-2014,3,1.19e-4,1.19e-4,99511.7,11.9,76.68,NA,1.21e-4,1.21e-4,99601.6,12.1,80.33
2012-2014,4,9.4e-5,9.4e-5,99499.8,9.4,75.69,NA,8.5e-5,8.5e-5,99589.5,8.5,79.34
2012-2014,5,9.7e-5,9.7e-5,99490.4,9.7,74.7,NA,8.7e-5,8.6e-5,99581,8.6,78.35
2012-2014,6,9e-5,9e-5,99480.7,9,73.7,NA,8.6e-5,8.6e-5,99572.4,8.5,77.36
2012-2014,7,9.1e-5,9.1e-5,99471.8,9.1,72.71,NA,7.8e-5,7.8e-5,99563.8,7.8,76.36
2012-2014,8,8.1e-5,8.1e-5,99462.7,8,71.72,NA,6.9e-5,6.9e-5,99556,6.9,75.37
